"shared name","IDs_2","cor_2"," pval_2","Extract","p.value.corrected","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"21","387.216 1361 1 (ID: 696)","0.281855815198855","0.328930260816831","2.230659e-04","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","8.622533e-07","3.209307e-11","3.621885e-11","2.981473e-11","5.139817e-04","1.307005e-03","5.268602e-05","1.424807e-05","5.885185e-06"
"22","393.166 642 2 (ID: 941)","0.228387251366747","0.432254605627892","1.115320e-04","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","6.313558e-07","5.624470e-06","2.949426e-03"
"23","397.179 821 2 (ID: 970)","0.211307326756097","0.468343345973288","1.363555e-05","1","1.595529e-05","1.221705e-10","2.190143e-05","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","3.692995e-05","1.520237e-03"
"24","397.180 672 1 (ID: 354)","0.172207640811325","0.556066648849158","4.367197e-05","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","1.355838e-03","5.151534e-03"
"25","400.157 589 1 (ID: 988)","0.228659476892485","0.431691028838877","3.814065e-05","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","6.833694e-07","3.132689e-11","2.945770e-11","2.546485e-11","2.455350e-06","9.868690e-04"
"26","400.175 809 2 (ID: 1025)","0.225954440307934","0.43730753983575","1.236224e-04","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","9.190970e-07","4.257120e-03"
"27","401.232 1290 1 (ID: 171)","0.911533897243834","5.70642706988177e-06","9.569529e-03","0.0033496726900206","1.960109e-05","2.601850e-05","8.650469e-10","5.627394e-05","1.082435e-06","9.345600e-07","6.857910e-04","4.297534e-05","2.146229e-02","1.072095e-03","1.347697e-03","6.499447e-04","4.493752e-04"
"28","401.232 1411 1 (ID: 29)","0.156482370780623","0.593185890419915","1.867191e-03","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","5.621215e-03","5.094052e-03","5.307523e-04","2.204470e-03","1.186410e-04","1.834621e-04","1.490334e-04","9.411409e-05"
"29","401.232 1619 1 (ID: 23)","0.640073772749594","0.0136797352409131","1.046219e-02","1","6.464336e-10","1.221705e-10","8.650469e-10","4.234155e-05","3.672463e-11","1.104836e-02","9.565303e-03","9.458749e-04","1.470604e-02","5.263176e-04","1.223849e-03","7.493568e-04","2.380574e-04"
"30","401.232 1527 1 (ID: 7)","0.878799706808992","3.50720064572382e-05","2.429692e-02","0.0205872677903988","2.233941e-04","4.482883e-05","8.650469e-10","2.383926e-04","7.216853e-05","2.490010e-03","9.933278e-04","6.165690e-05","3.438873e-02","2.095780e-03","3.262355e-03","3.027087e-03","9.371517e-04"
"31","404.170 605 1 (ID: 971)","0.227876384406039","0.433313229460979","3.930930e-05","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","2.382878e-11","1.118663e-03"
"32","410.158 731 2 (ID: 989)","0.225199020918109","0.43888252271745","1.390490e-04","1","6.464336e-10","2.669299e-06","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","4.733767e-06","2.945770e-11","2.546485e-11","2.382878e-11","5.685991e-03"
"33","414.173 687 2 (ID: 977)","0.233771077527466","0.421177678240681","4.996701e-04","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","1.024873e-06","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","2.382878e-11","9.191541e-03"
"34","414.173 905 2 (ID: 1008)","0.227291395493049","0.434527046935374","3.785156e-04","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","3.401048e-06","1.133443e-02"
"35","417.335 1560 1 (ID: 1087)","-0.197160670343684","0.499289292224269","2.445946e-11","1","6.464336e-10","6.529119e-04","2.818305e-04","1.584449e-02","9.596079e-06","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","6.442022e-07","2.382878e-11","1.845665e-11"
"36","418.187 923 1 (ID: 955)","0.166864084233523","0.568569001715152","2.329313e-05","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","2.329439e-04","7.145551e-04"
"37","419.193 691 1 (ID: 927)","-0.16129799267128","0.581714470803868","8.510081e-05","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","7.694718e-03","2.276413e-04"
"38","421.162 672 2 (ID: 205)","0.235901283511049","0.416835243835322","3.829276e-03","1","1.355217e-05","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","2.469647e-06","6.227586e-02"
"39","421.180 832 2 (ID: 1007)","0.219953686405832","0.449896193589544","2.048656e-04","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","1.809977e-06","2.101489e-02"
"40","421.181 1077 2 (ID: 965)","0.230314702800386","0.428272260153398","2.872728e-04","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","3.512909e-05","6.266526e-03"
"41","425.175 708 2 (ID: 186)","0.236157000031905","0.416315511707475","2.691303e-03","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","7.491417e-07","2.945770e-11","2.546485e-11","6.738107e-05","4.277240e-02"
"42","425.377 1935 1 (ID: 1092)","-0.258928359333653","0.371387118377301","5.901260e-05","1","6.464336e-10","1.016058e-03","3.353459e-03","1.121530e-02","3.896238e-04","3.209307e-11","1.741605e-06","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","2.382878e-11","1.845665e-11"
"43","428.169 812 2 (ID: 1019)","0.224257514529611","0.440849434574296","6.546198e-05","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","7.471407e-07","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","2.567490e-06","2.729975e-03"
"44","428.189 1188 2 (ID: 930)","0.217201938378771","0.455727905951845","3.138128e-05","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","5.940089e-05","1.534564e-03"
"45","431.164 790 2 (ID: 998)","0.230846465225626","0.427176849688689","5.492717e-04","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","2.382878e-11","1.226607e-02"
"46","431.164 975 2 (ID: 1015)","0.222458033311894","0.444620921941576","2.597221e-05","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","2.382878e-11","1.467020e-03"
"47","432.167 788 1 (ID: 935)","0.228248761494718","0.432541457181176","7.454048e-05","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","8.536581e-06","1.934366e-03"
"48","432.184 803 2 (ID: 344)","-0.0835724691992009","0.776378242451035","2.749141e-04","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","9.457076e-03","3.302277e-03"
"49","435.177 919 2 (ID: 218)","0.347895692776188","0.222891464851555","9.141118e-03","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","3.731919e-04","2.575599e-03"
"50","439.357 1214 1 (ID: 1081)","-0.197584955152447","0.498347690975837","2.301569e-05","1","6.464336e-10","8.717377e-05","2.005304e-03","3.673313e-02","1.787740e-04","3.209307e-11","4.636070e-06","3.644499e-05","3.132689e-11","2.945770e-11","2.546485e-11","2.382878e-11","1.845665e-11"
"51","439.357 1157 1 (ID: 1085)","-0.224835529288488","0.439641377794201","9.954754e-05","1","6.464336e-10","7.648358e-05","4.299459e-03","2.183517e-02","4.768013e-04","3.209307e-11","3.621885e-11","1.296152e-04","3.132689e-11","5.758959e-06","2.546485e-11","2.382878e-11","9.337951e-07"
"52","439.357 1577 1 (ID: 1095)","-0.216584621099606","0.457041220868512","1.283771e-04","1","6.464336e-10","1.401029e-03","4.180801e-03","3.536950e-02","8.760502e-05","1.414479e-05","2.210818e-05","2.087668e-05","6.781284e-07","2.945770e-11","8.375676e-06","3.458900e-06","1.845665e-11"
"53","441.372 1526 1 (ID: 1091)","-0.200199365241951","0.492563779634091","1.278004e-05","1","1.742188e-05","1.043785e-03","2.195819e-03","4.552438e-02","7.111090e-05","5.336544e-06","9.557219e-06","2.505859e-05","3.132689e-11","2.945770e-11","2.546485e-11","2.382878e-11","6.173931e-07"
"54","442.168 776 2 (ID: 197)","0.231476304075994","0.425881241930604","2.145192e-03","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","7.584924e-07","2.546485e-11","3.953211e-05","4.538286e-02"
"55","442.186 1085 2 (ID: 184)","0.230796002272646","0.427280740530007","2.740669e-03","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","1.282872e-04","5.999939e-02"
"56","443.242 1625 1 (ID: 363)","-0.190615430683349","0.513918072162953","1.255544e-04","1","6.464336e-10","1.221705e-10","8.650469e-10","3.628881e-02","3.066697e-03","1.625562e-05","1.571580e-05","5.164698e-06","8.372052e-06","2.945770e-11","1.569142e-06","3.199481e-06","1.845665e-11"
"57","445.180 1199 1 (ID: 952)","0.221870911106522","0.44585490412641","1.808106e-05","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","8.620939e-07","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","2.382878e-11","1.130042e-03"
"58","445.191 1050 2 (ID: 885)","-0.180267561363161","0.537432904872831","2.445946e-11","1","6.464336e-10","9.183880e-05","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","1.777455e-03","1.845665e-11"
"59","452.168 1024 1 (ID: 207)","0.231739400682038","0.425340630350845","1.520436e-03","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","8.456394e-07","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","2.382878e-11","3.187367e-02"
"60","459.236 1282 1 (ID: 818)","-0.181796201787264","0.533929894889183","5.397138e-07","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","9.097464e-07","2.074683e-05","2.981473e-11","3.132689e-11","2.945770e-11","6.928522e-05","1.038576e-03","1.845665e-11"
"61","464.181 847 1 (ID: 997)","0.223497888454373","0.44243956953766","1.843570e-05","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","2.382878e-11","8.763841e-04"
"62","464.200 1211 2 (ID: 846)","-0.172174686626731","0.556143393187263","4.349065e-06","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","4.855050e-05","2.675582e-03","6.793232e-06"
"63","465.370 2044 1 (ID: 1068)","-0.278676865558257","0.33464685012323","1.920894e-04","1","1.257570e-02","3.175287e-02","4.730478e-03","7.049885e-04","1.284785e-06","3.209307e-11","7.783594e-06","5.812316e-06","3.132689e-11","2.945770e-11","2.546485e-11","2.382878e-11","1.845665e-11"
"64","465.370 1966 1 (ID: 1075)","-0.286165961759936","0.321267948688969","4.023261e-05","1","6.464336e-10","9.679153e-04","5.534852e-03","9.699146e-03","3.075912e-06","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","6.438202e-07","2.382878e-11","1.845665e-11"
"65","465.370 1944 1 (ID: 1082)","-0.219780068163476","0.450263048557317","8.869846e-05","1","6.464336e-10","1.727955e-03","3.503640e-03","2.985674e-02","3.280741e-05","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","2.382878e-11","1.845665e-11"
"66","466.186 1442 1 (ID: 968)","0.223157713165869","0.44315258515967","3.784695e-05","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","1.804351e-06","1.853107e-03"
"67","467.387 2205 1 (ID: 1044)","-0.178851847686409","0.540686046522069","1.046175e-05","1","6.464336e-10","7.034253e-03","8.650469e-10","4.320892e-05","3.672463e-11","3.209307e-11","8.218506e-07","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","2.382878e-11","1.845665e-11"
"68","481.293 1687 1 (ID: 1051)","-0.210668687828712","0.469720130070095","7.408401e-04","1","6.464336e-10","1.225744e-01","1.966209e-02","1.160175e-03","4.180759e-05","6.417379e-05","2.461595e-04","3.167130e-05","6.767624e-06","1.149969e-05","3.680612e-05","3.572461e-05","9.183226e-06"
"69","481.365 1906 1 (ID: 131)","-0.321674154723735","0.262067427480664","4.503620e-05","1","6.356928e-03","3.092421e-02","7.879277e-02","2.136600e-02","1.238648e-06","3.209307e-11","9.921453e-07","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","2.382878e-11","1.845665e-11"
"70","483.378 2087 1 (ID: 1057)","-0.194689641909525","0.504789417886712","2.445946e-11","1","6.464336e-10","3.230368e-03","8.650469e-10","2.800070e-04","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","2.382878e-11","1.845665e-11"
"71","483.380 1940 1 (ID: 1066)","-0.198875049120322","0.495489676950737","2.445946e-11","1","6.464336e-10","6.830890e-03","2.664900e-04","4.402077e-04","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","2.382878e-11","1.845665e-11"
"72","497.288 1375 1 (ID: 288)","0.337421201569584","0.238076326030631","2.441349e-04","1","6.464336e-10","1.357033e-03","5.613920e-05","1.016169e-05","3.672463e-11","3.209307e-11","3.621885e-11","3.500204e-03","1.315461e-03","2.945770e-11","1.844028e-05","1.262471e-05","3.884507e-06"
"73","501.340 1465 1 (ID: 162)","-0.342263113369249","0.230980262669211","0.0007354798","1","0.0309969713","0.0033709800","0.0208607767","0.0074068142","0.0005619174","0.0005222041","0.0007693063","0.0005856262","0.0006116135","0.0005790397","0.0004813538","0.0007542486","0.0002563136"
"74","503.275 1684 1 (ID: 189)","-0.252612771664858","0.383576715384257","2.094994e-03","1","6.464336e-10","1.533170e-01","6.686691e-02","4.192848e-03","1.898700e-04","6.609591e-05","1.350426e-04","1.476775e-04","5.334750e-05","1.003521e-04","1.568621e-04","1.555875e-04","6.017893e-05"
"75","503.275 1415 1 (ID: 584)","0.115180455871784","0.694988301043906","2.547052e-04","1","6.464336e-10","1.221705e-10","8.650469e-10","8.258553e-06","3.672463e-11","4.926464e-05","1.945967e-04","5.150720e-03","5.015538e-05","2.222734e-05","2.543308e-05","1.103960e-05","3.274227e-06"
"76","503.275 1556 1 (ID: 1046)","-0.214719160157288","0.461021096002392","5.216137e-04","1","6.464336e-10","6.276603e-03","8.353350e-02","8.294493e-04","1.424284e-05","1.943972e-06","1.088491e-06","5.307041e-06","3.132689e-11","6.042650e-06","1.283163e-05","7.343178e-06","1.831601e-06"
"77","505.291 1779 1 (ID: 1056)","-0.219683605973258","0.450466936535892","2.653545e-04","1","4.270028e-04","5.172722e-02","1.022684e-02","6.177841e-04","9.372797e-06","4.186163e-06","1.833862e-05","1.430715e-05","1.130846e-06","5.271471e-06","1.638106e-05","1.806550e-05","2.153512e-06"
"78","505.291 1651 1 (ID: 1053)","-0.277328473934163","0.337088289593551","7.256453e-05","1","6.464336e-10","1.022419e-02","9.481344e-03","6.782703e-05","3.672463e-11","3.209307e-11","1.201655e-06","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","2.382878e-11","1.845665e-11"
"79","519.269 1374 1 (ID: 27)","0.107173949136097","0.71535489068981","8.674157e-04","1","6.464336e-10","8.868465e-03","9.228474e-04","1.905290e-04","3.672463e-11","3.209307e-11","2.976348e-05","4.986674e-03","2.510288e-03","2.372457e-05","4.624453e-05","2.529780e-05","3.737817e-05"
"80","519.269 1594 1 (ID: 1039)","-0.212896858710222","0.464925063298009","2.445946e-11","1","6.464336e-10","1.038075e-02","1.000688e-03","7.941632e-04","3.672463e-11","3.209307e-11","3.621885e-11","2.981473e-11","3.132689e-11","2.945770e-11","2.546485e-11","2.382878e-11","1.845665e-11"
"81","521.273 1188 1 (ID: 192)","-0.0561341312084854","0.848838178848428","1.353078e-03","1","6.464336e-10","1.221705e-10","2.137841e-05","3.423586e-10","3.475244e-02","2.337097e-04","1.335246e-04","4.031202e-05","2.451013e-05","5.856477e-05","8.682252e-05","5.011973e-05","2.779664e-05"
"82","531.310 1559 1 (ID: 578)","0.177862129830118","0.542965363773759","6.669988e-05","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","3.209307e-11","3.621885e-11","9.969590e-04","7.065879e-05","2.945770e-11","1.051577e-06","2.382878e-11","1.845665e-11"
"83","537.249 1181 1 (ID: 56)","-0.0589976882843228","0.841214057229307","4.992992e-03","1","6.464336e-10","1.221705e-10","1.895620e-05","3.423586e-10","1.038433e-01","4.465323e-03","6.195580e-04","2.903276e-04","1.032652e-04","2.108819e-04","3.411513e-04","2.961678e-04","9.895206e-05"
"84","537.250 1346 1 (ID: 1121)","-0.133926510545118","0.648064263703473","2.284473e-04","1","6.464336e-10","1.221705e-10","8.650469e-10","3.109368e-03","6.804494e-03","4.631452e-05","1.779650e-05","1.255578e-05","7.590219e-07","2.424196e-06","9.822240e-06","4.829409e-06","1.845665e-11"
"85","541.314 1404 1 (ID: 257)","-0.0519316051110862","0.860049364942227","7.070954e-04","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","8.739667e-05","1.437537e-02","1.739299e-03","2.100316e-04","3.509456e-05","6.852661e-05","3.102800e-05","3.044466e-05"
"86","545.363 1432 1 (ID: 349)","-0.320829422477354","0.263393855730884","0.0004747613","1","0.0408016975","0.0034217277","0.0205614252","0.0069984851","0.0005164033","0.0005322889","0.0008774673","0.0006835037","0.0006938423","0.0006551129","0.0005782199","0.0007819692","0.0002975199"
"87","547.288 1043 1 (ID: 385)","-0.126481236750693","0.666567020902345","2.352006e-04","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","1.670600e-04","1.955236e-03","2.183127e-04","5.081549e-05","8.824632e-07","2.945770e-11","2.546485e-11","6.623839e-07","5.744771e-07"
"88","553.243 950 1 (ID: 445)","-0.0637432912891288","0.828607782441757","2.821520e-04","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","8.600418e-06","8.499868e-03","7.293393e-04","7.919312e-05","1.308310e-05","1.542489e-05","1.420530e-05","1.845665e-11"
"89","553.243 1143 1 (ID: 95)","-0.127822483553118","0.663220394017943","1.200882e-03","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","2.461547e-04","6.717966e-03","1.217599e-02","1.461011e-04","3.057695e-05","3.292860e-05","5.714127e-05","1.345431e-05","1.665466e-05"
"90","553.243 883 1 (ID: 269)","0.128893097512363","0.660553219633474","2.328017e-04","1","6.464336e-10","1.221705e-10","8.650469e-10","3.423586e-10","3.672463e-11","5.996308e-05","1.643471e-03","3.211794e-03","2.666793e-04","1.639501e-05","2.859379e-05","1.762552e-05","9.914479e-07"
